region_exec,region_id,region,measure_start_ms,resctrl_start_ms,delta_start_ms,measure_end_ms,resctrl_end_ms,delta_end_ms,measure_wall_ms,resctrl_wall_ms,delta_wall_ms
1800,2,heat_update,264779.530105,264344.217435,-435.3126700000139,264870.859259,264437.063281,-433.7959779999801,91.32915399997728,92.84584600001108,1.5166920000337996
1800,3,importance,264870.941168,264437.213544,-433.7276239999919,264871.137552,264437.408009,-433.729542999994,0.19638400000985712,0.19446500000776723,-0.0019190000020898879
1800,4,mark_refine,264871.30372,264437.909957,-433.39376300002914,264871.334202,264437.944993,-433.3892089999863,0.030481999972835183,0.03503600001567975,0.004554000042844564
1800,5,mark_coarsen,264871.372964,264438.003158,-433.3698059999733,264871.398586,264438.030674,-433.3679120000452,0.025622000044677407,0.027515999972820282,0.0018939999281428754
1900,2,heat_update,273878.108375,273390.295221,-487.8131540000322,273964.888219,273480.706945,-484.1812740000314,86.77984400000423,90.41172400000505,3.6318800000008196
1900,3,importance,273964.96742,273480.854549,-484.11287100001937,273965.158739,273481.040698,-484.1180409999797,0.19131899997591972,0.18614900001557544,-0.005169999960344285
1900,4,mark_refine,273965.326971,273481.550981,-483.77598999999464,273965.358213,273481.586511,-483.7717019999982,0.031241999997291714,0.03552999999374151,0.004287999996449798
1900,5,mark_coarsen,273965.385829,273481.646821,-483.7390080000041,273965.410752,273481.675097,-483.73565499996766,0.024923000019043684,0.028276000055484474,0.0033530000364407897
2000,2,heat_update,282672.817255,282203.60272,-469.21453499997733,282756.427287,282288.798015,-467.62927199999103,83.61003199999686,85.19529499998316,1.5852629999862984
2000,3,importance,282756.511184,282288.943189,-467.56799499999033,282756.695372,282289.144121,-467.55125099996803,0.18418799998471513,0.20093200000701472,0.016744000022299588
2000,4,mark_refine,282756.857437,282289.635641,-467.2217960000271,282756.891151,282289.670043,-467.2211079999688,0.03371399996103719,0.034402000019326806,0.0006880000582896173
2000,5,mark_coarsen,282756.923123,282289.733409,-467.1897140000365,282756.950717,282289.77396,-467.17675699997926,0.027593999984674156,0.040551000041887164,0.012957000057213008
