parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,cpu_id,target_mhz,measured_mhz,resource_applied
4000,4,1000,0,4,4,4786.054576,4786.112631,0.058055,0x4050f7,0,4300.000000,1597.264022,1
4000,4,1000,1,4,4,4786.054190,4786.144942,0.090752,0x4050f7,40,800.000000,1200.132188,1
4000,4,1000,2,4,4,4786.052877,4786.071576,0.018699,0x4050f7,48,800.000000,4302.321814,1
4000,4,1000,3,4,4,4786.052982,4786.072455,0.019473,0x4050f7,56,800.000000,4102.124352,1
4001,5,1000,0,4,4,4786.236095,4786.292802,0.056707,0x405149,0,800.000000,1599.438498,1
4001,5,1000,1,4,4,4786.236371,4786.339632,0.103261,0x405149,40,4300.000000,1199.767622,1
4001,5,1000,2,4,4,4786.234479,4786.253055,0.018576,0x405149,48,800.000000,4302.314316,1
4001,5,1000,3,4,4,4786.234534,4786.253833,0.019299,0x405149,56,800.000000,4097.872340,1
4398,2,1100,0,4,4,5268.868583,5272.194664,3.170701,0x40500b,0,3680.393630,3681.075209,1
4398,2,1100,1,4,4,5268.867894,5272.193679,3.054116,0x40500b,40,4300.000000,4299.563153,1
4398,2,1100,2,4,4,5268.867789,5272.193438,3.034773,0x40500b,48,2850.238388,2982.938201,1
4398,2,1100,3,4,4,5268.867857,5272.192336,2.990934,0x40500b,56,2822.355059,3005.732307,1
4399,3,1100,0,4,4,5272.262111,5272.447498,0.185387,0x40504c,0,1823.178857,3598.061494,1
4399,3,1100,1,4,4,5272.262179,5272.440943,0.178764,0x40504c,40,1099.635904,4299.759441,1
4399,3,1100,2,4,4,5272.262539,5272.447256,0.184717,0x40504c,48,3436.367541,2800.000000,1
4399,3,1100,3,4,4,5272.262589,5272.452182,0.189593,0x40504c,56,4300.000000,2799.852204,1
4400,4,1100,0,4,4,5272.623178,5272.659287,0.036109,0x4050f7,0,4300.000000,3597.019868,1
4400,4,1100,1,4,4,5272.622606,5272.648494,0.025888,0x4050f7,40,2553.694676,4301.660873,1
4400,4,1100,2,4,4,5272.622885,5272.651478,0.028593,0x4050f7,48,800.000000,2800.984529,1
4400,4,1100,3,4,4,5272.622938,5272.651415,0.028477,0x4050f7,56,800.000000,2799.015817,1
4401,5,1100,0,4,4,5272.714632,5272.742643,0.028011,0x405149,0,800.000000,3598.716120,1
